ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-07-07T00:00:00.000000000Z,35,2,4868,2297.500000000,2383.810000000,2288.050000000,2366.660000000,647040,GOOGL
2022-07-07T00:00:00.000000000Z,35,2,7924,152.630000000,159.450000000,152.630000000,157.900000000,8206386,NVDA
2022-07-07T00:00:00.000000000Z,35,2,27,143.460000000,146.550000000,142.770000000,145.950000000,16675545,AAPL
2022-07-07T00:00:00.000000000Z,35,2,532,76.000000000,79.990000000,75.970000000,79.000000000,10707124,AMD
2022-07-07T00:00:00.000000000Z,35,2,9513,136.560000000,137.840000000,136.510000000,137.380000000,150172,RSP
2022-07-07T00:00:00.000000000Z,35,2,7643,184.200000000,190.210000000,183.490000000,188.500000000,1911622,NFLX
2022-07-07T00:00:00.000000000Z,35,2,7394,266.590000000,269.060000000,264.820000000,267.650000000,7522994,MSFT
2022-07-07T00:00:00.000000000Z,35,2,7094,170.480000000,172.710000000,167.780000000,171.450000000,5873015,META
2022-07-07T00:00:00.000000000Z,35,2,10306,384.600000000,389.830000000,383.450000000,388.180000000,7895564,SPY
2022-07-07T00:00:00.000000000Z,35,2,8175,72.220000000,72.290000000,71.180000000,71.800000000,613623,ORCL
2022-07-07T00:00:00.000000000Z,35,2,589,114.600000000,116.990000000,113.490000000,115.710000000,12437418,AMZN
2022-07-07T00:00:00.000000000Z,35,2,11007,699.500000000,736.100000000,696.680000000,731.000000000,6272663,TSLA
2022-07-08T00:00:00.000000000Z,35,2,7923,157.580000000,160.360000000,153.800000000,158.270000000,7075209,NVDA
2022-07-08T00:00:00.000000000Z,35,2,11007,730.030000000,778.010000000,722.350000000,769.500000000,6409973,TSLA
2022-07-08T00:00:00.000000000Z,35,2,27,145.810000000,147.550000000,144.250000000,146.770000000,12646114,AAPL
2022-07-08T00:00:00.000000000Z,35,2,9513,137.330000000,137.930000000,136.350000000,136.990000000,160168,RSP
2022-07-08T00:00:00.000000000Z,35,2,7093,171.640000000,172.400000000,168.130000000,170.750000000,4438489,META
2022-07-08T00:00:00.000000000Z,35,2,532,78.790000000,80.470000000,77.400000000,79.190000000,9292751,AMD
2022-07-08T00:00:00.000000000Z,35,2,589,115.750000000,116.580000000,113.700000000,115.350000000,9097411,AMZN
2022-07-08T00:00:00.000000000Z,35,2,4598,27.130000000,27.610000000,26.830000000,27.110000000,1764190,GDX
